location_name,Aedes aegypti,Aedes albopictus,Aedes dorsalis,Culex erythrothorax,Culex pipiens,Culex quinquefasciatus,Culex tarsalis,Culiseta incidens,Culiseta inornata,Culiseta particeps
Alameda,0,0,1,0,0,0,0,0,0,0
Alameda,0,0,0,26,0,0,0,0,0,0
Alameda,0,0,0,0,8,0,0,0,0,0
Alameda,0,0,0,0,0,0,16,0,0,0
Alameda,0,0,0,0,0,0,0,3,0,0
Alameda,0,0,0,0,0,0,0,0,2,0
Alameda,0,0,0,0,0,0,0,0,0,4
Los Angeles,10,0,0,0,0,0,0,0,0,0
Los Angeles,0,11,0,0,0,0,0,0,0,0
Los Angeles,0,0,0,15,0,0,0,0,0,0
Los Angeles,0,0,0,0,0,4,0,0,0,0
Los Angeles,0,0,0,0,0,0,5,0,0,0
Riverside,0,0,0,0,0,0,12,0,0,0
Sacramento,0,0,0,0,6,0,0,0,0,0
Sacramento,0,0,0,0,0,0,1,0,0,0
San Diego,10,0,0,0,0,0,0,0,0,0
San Diego,0,0,0,0,0,7,0,0,0,0
San Diego,0,0,0,0,0,0,0,0,0,6
